Protein,Encoding,Model,Acquisition,Timestep,Mean,Std
GB1,AA,Boosting Ensemble,GREEDY,209,0.74405515,0.019513167
GB1,AA,Boosting Ensemble,GREEDY,210,0.7496687,0.019441364
GB1,AA,Boosting Ensemble,GREEDY,211,0.75061226,0.019341527
GB1,AA,Boosting Ensemble,GREEDY,212,0.7511301,0.019283984
GB1,AA,Boosting Ensemble,GREEDY,213,0.7511745,0.019279694
GB1,AA,Boosting Ensemble,GREEDY,214,0.7568557,0.019388033
GB1,AA,Boosting Ensemble,GREEDY,215,0.7568557,0.019388033
GB1,AA,Boosting Ensemble,GREEDY,216,0.7570704,0.019367011
GB1,AA,Boosting Ensemble,GREEDY,217,0.76325935,0.01918666
GB1,AA,Boosting Ensemble,GREEDY,218,0.7637909,0.019218786
GB1,AA,Boosting Ensemble,GREEDY,219,0.7637909,0.019218786
GB1,AA,Boosting Ensemble,GREEDY,220,0.7647521,0.019059623
GB1,AA,Boosting Ensemble,GREEDY,221,0.76508415,0.019032668
GB1,AA,Boosting Ensemble,GREEDY,222,0.7668483,0.018921575
GB1,AA,Boosting Ensemble,GREEDY,223,0.7682162,0.01870943
GB1,AA,Boosting Ensemble,GREEDY,224,0.76873046,0.01864109
GB1,AA,Boosting Ensemble,GREEDY,225,0.76873046,0.01864109
GB1,AA,Boosting Ensemble,GREEDY,226,0.76935214,0.018577162
GB1,AA,Boosting Ensemble,GREEDY,227,0.76935214,0.018577162
GB1,AA,Boosting Ensemble,GREEDY,228,0.76935214,0.018577162
GB1,AA,Boosting Ensemble,GREEDY,229,0.76935214,0.018577162
GB1,AA,Boosting Ensemble,GREEDY,230,0.76935214,0.018577162
GB1,AA,Boosting Ensemble,GREEDY,231,0.7706703,0.018539859
GB1,AA,Boosting Ensemble,GREEDY,232,0.7706703,0.018539859
GB1,AA,Boosting Ensemble,GREEDY,233,0.7706703,0.018539859
GB1,AA,Boosting Ensemble,GREEDY,234,0.7718933,0.018453516
GB1,AA,Boosting Ensemble,GREEDY,235,0.77465016,0.01835162
GB1,AA,Boosting Ensemble,GREEDY,236,0.77475893,0.01833482
GB1,AA,Boosting Ensemble,GREEDY,237,0.77475893,0.01833482
GB1,AA,Boosting Ensemble,GREEDY,238,0.77475893,0.01833482
GB1,AA,Boosting Ensemble,GREEDY,239,0.7751132,0.018289132
GB1,AA,Boosting Ensemble,GREEDY,240,0.7751132,0.018289132
GB1,AA,Boosting Ensemble,GREEDY,241,0.7751132,0.018289132
GB1,AA,Boosting Ensemble,GREEDY,242,0.7756536,0.018231004
GB1,AA,Boosting Ensemble,GREEDY,243,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,244,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,245,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,246,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,247,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,248,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,249,0.7770131,0.018140426
GB1,AA,Boosting Ensemble,GREEDY,250,0.7825398,0.018240359
GB1,AA,Boosting Ensemble,GREEDY,251,0.7825398,0.018240359
